English	Field	Amharic 
compress	Py	ማመቅ
compressibility	Py	ታማቂነት
compression	Gl	እመቃ
compression	Py	እመቃ
compressional foce	Gl	ለማቂ ሃይል
compression wave	Py	እመቃዊ ሞገድ
compression force	Gg	እምቅ ሃይል
compression ignition	Em	እመቃ ቃጠሎ
compression ratio	Em	ንፅረ እመቃ
compressive	Py	እመቃዊ
compressive strain	Py	እመቃዊ ውጥረት
compressive strength	Bc	እምቅ ጉልበት
compressor	Em	አማቂ
compressor muscle	Zo	ጨባጭ ጡንቻ (አማቂ ጡንቻ)
compton scattering	Py	የኮምቶን ዝሪት
computer	St	ማስላት
computer	Em	ኮምፒውተር
computer	Ma	ኮምፑተር
concave	Py	ስርጉድ
concave-convex lens	Em	ስርጉድ እብጥ ምስሪት
concave lens	Py	ስርጉድ ምስሮ
concave mirror	Py	ስርጉድ መስተዋት
concave polygon	Ma	ስርጉድ ጉነብዙ
concave slope	Gg	ስርጉድ ቆለቆል
concentrate (to)	Ch	ማወፈር
concentraated load	Bc	ክምር ክብደት
concentrated soultion	Ch	ወፍር ሙሙት
concentration	Ch	ውፍረታ
concentration (as a process)	Ch	ውፈራ
concentration	Py	ሙጅረት
concentric	Py	ማእከል አንድ
concentric circles	Ma	ጋራም ብርታዊ ክቦች
concept	Ma	ፅንሰ ሃሳብ
concept	Py	ግንዛቤ
conception	Ag	መፅነስ
conception	Me	ፅንሰስ
conceptual	Py	ግንዛቤያዊ
concession	Gg	እግድይዘት
conchoidal	Gl	ዛጎል መሰል
conclusion	Ma	መደምደሚያ
concomitant variable	St	ትይይዝ ተለዋዋጭ
concordant intrusive rock	Gl	መስሎወጥ ድብቅ ድንጋይ
concordant pluton	Gl	መስሎጥ ድብቅ (መስሎወጥ ድብቅ)
concrete	BC	ቤቶን
concrete; (lean concrete)	Bc	ሲሚንቶልስን ቤቶን
concrete; (masonry unit)	Bc	ብሎኬት
concret; (plain concrete)	Bc	ብረታልባ ቤቶን
concrete; (rich concrete)	Bc	ፍብርክ ቤቶች
concrete; (rich concrete)	Bc	ሲሚንቶ ቅም ቤቶን
concurrence	Ma	ተገናኝነት
concurrent	Ma	ተገናኝ
concurrent	Py	ተገናኝ
concurrent forces	Py	ተገናኝ ሃይላት
concussion	Me	አንጎል ስብራት
condensate	Py	ጠል
condensation	Ch	ጥዘት
condensation	Ch	ድቅለት
condensation	Gf	ጥዘዜት
condensation	Gl	ውበት
condensation	Py	ጠለላ
condensation level	Gg	ጥዜት እርከን
condensation nuclei	Gg	ጥዜት መቁረሪያ
condensation polymer	Ch	ድቅለል ፖሊመር
condense	Ch	ማጤዝ
condense	Ch	ማዳቀል
condense (v)	Py	መጥለል
condensed structural formula	Ch	አህፅሮተ መዋቅራዊ ቀመር
condenser	Em	ተን መላሽ
condenser	Ch	ማጤዣ
condenser	Py	አጥላይ
conditional convergence	Ma	ሁኔታዊ ድርስ
conditional convergent series	Ma	ሁኔታዊ ደራሽ ልጥጥቅ
conditional distribution	St	ገደባዊ ስርጭት
conditional expectation	St	ገደባዊ ምከላ
conditional probability	St	ገደባዊ ይሆንታ
conditional propability density function	St	ገደባዊ ይሆንታ ትፍገት ቅምብር
conditional variance	St	ገደባዊ ካሬ ልይይት
conditioned reflex	Zo	ተላምዶአዊ ቅፅበት
conditioned response	Zo	ተለምዶአዊ ምላሽ
conditioning	Zo	ማስለመድ
condominium	Gg	ጋራ ግዛት
conduct (to)	Em	ማስተላለፍ
conductance	Em	አስተላላፊያዊ
conductance	Py	አስተላልፎሽነት
conduction	Em	አስተላላፊነት
conduction	Gg	ንክክት ትልልፍ
conducation	Py	አስተላልፎሽ
conductivity (conductance)	Ch	አስተላልፎሽ
conductivity	Em	አስተላላፋዊነት
cobnductivity	Py	አስተላላፊነት
conductometry	Ch	ትልፍልፋዊ ልክታ
conductor	Ch	አስተላላፊ
conductor	Em	አስተላላፊ
conductory	Py	አስተላላፊ
conduit	Bc	ቧንቧ
conduit	Em	ችቧቃሪ
condyle	Me	ጉባ
condyle	Zo	ጉጤ
condyloma	Me	ችፍግ
cone	Bc	ቅምብብ ወይም ልቃቂት
cone	Bt	ቅምብብ
cone	Em	ቅምብቢት
cone	Gl	ቱቢን (ሶማሊኛ)
cone	Ma	ኮን
cone	Py	ቅላንገት
cone	Zo	ቅምብብ
cone gear	Em	ቅምብቢት ጥርስ
conelet	Gg	ቅንብቢት
cone of depression	Gl	ቅርፀ ቱቢን ዝብጥ
cone-shaped	Gg	ቅንብብ ቅርፅ
confederation	Gg	እብረት
confidence coefficient	St	አስተማማኝነት መለኪያ
confidence interval	St	አስተማማኝ ክፍተት
confidence level	St	አስተማማኝነት ደረጃ
confidence limit	St	አስማማኝነት ደንብ
configuration	Ch	ቅመጣ
configuration	Gg	መሬት ቅጥ
configuration	Py	ሙቅረት
configuration of stars	Py	የከዋክብት ሙቅረት
confluence	Gg	ወንዝ መገናኛ
conformation	Ch	ዝውር ቅመጣ
confounded	St	ድንግር
congenital	Me	እብሮለድ
conglomerate	Gl	ድቡልቡል ኮረት
congruency	Ma	ልክክነት
congruent	Ma	ልክክ
congruent circles	Ma	ልክክ ክቦች
congruent segments	Ma	ልክክ ጉማጅ መስመሮች
conical	Em	ቅመምብቢታዊ
conical	Py	ቅላንገታዊ
conical flask	Ch	ቅምብብ ፋሽኮ
conical funnel	Ch	ቅምብብ ማንቆርቆሪያ
conical pendulum	Py	ቅላንገታዊ ዥውዣዌ
conical projection	Gg	ቅንብባዊ ትይት (ውድቂያ)
conic projection	Gl	ቅንብበ ቅርፀት
conic section	Ma	ኮናዊ ቁርጦ
conic surface	Ma	ኮናዊ ገፅታ
coniferophyta	Bt	ኮንፈሮፋይታ (ዘረቅምብብዛፍ)
coniferous forest	Bt	ቅምብብማ ደን
coniferous forest	Gg	ቅምብብ ቅጥ ደን
coniferous tree	Bt	ቅምብብማ ዛፍ
conjecture (hypothesis)	Ma	መላምት
conjugate	Ch	ጥምድ
conjugate	Gl	ቅንጅት
conjugate	Ma	ጥምድ ፣ ማጣመድ
conjugate (v)	Py	ማቆራኘት (ማጣመር)
conjugate acid	Ch	ጥምድ አሲድ
conjugate angle	Ma	ጥምድ ዘዌዎች
conjugate axis (of a hyperbola)	Ma	ጥምድ አክሲስ (የሃይፐርቦላ)
conjugate base	Gh	የይምድ ቤዝ
conjugate impedance	Py	ቁርኝታዊ እግዶሽ
conjugate of complex number	Ma	የድርብ ቁጥር ጥምድ
conjugation	Bt	ጥምደታ
conjugation	Zo	ጥምደታ
conjunction	Gg	ጥምረት
conjunction	Ma	አጣማሪ
conjunction	Me	ድርገታይን
conjunctiva	Nu	አይነ-ልባስ
conjunctiva	Zo	ልባሰ አይን
conjunctival xerosis	Nu	ድርቀተ-አይነ-ልባስ
copnnate water	Gl	ዝቅጤ አዘል ውሃ
connect	Py	ማያያዝ
connected	Ma	ትይይዝ (ግንኝ)
connecting rod	Em	አገናኝ ዘንግ
connecting tube	Ch	አያያዥ ቱቦ
connection	Py	ትይይዝት
connective tissue	Bt	አጣማሪ ህብረህዋስ
connector	Em	አያያዥ
connectors	Ch	አያያዥ
consciousness	Me	ንቃተ አእምሮ
consequent stream	Gg	ተዳፍት ሸጥ
consequent stream	Gl	ተዳፋት ወንዝ
conservation	Bt	እቅበት (እንክብክቦሽ)
conservation	Gg	እንክብክቦሽ
conservation	Py	ጥበቃ
conservation of angular momentum	Py	የዘዌያዊ እንድርድረት ጥበቃ
conservation of charge	Py	የመሙል ጥበቃ
conservation of energy	Py	የጉልበት ጥበቃ
conservation of mass - energy	Py	የመጠነቁስ ጉልበት ጥበቃ
conservation of momentum	Py	የእንድርድረት ጥበቃ
conservationist	Bt	አቃቢ
conservative	Py	ጥበብቃዊ
conservative field	Py	ጥብቃዊ መስክ
conservative force	Py	ጥብቃዊ ሃል
consistant estimator	St	አድራሻ መገመቻ
consistency	Bc	ውሃምር
consistency	Ma	ስምምነት
consistant	Ma	ስምም
consistent equation	Ma	ስምም እኩልታ
console	Py	ኮንሶል
consolidate	Gl	ጥግግነት
consolidation	Bc	ጭምቃጥብቅ
consolidation of sector accounts	St	ዘርፍ ሂብ አጠቃለል
constancy	Py	ኢተለዋዋጭነት
constant	Ma	ያዊት
constant	Py	ኢተለዋዋጭ
constant	St	ኢተለዋዋጭ
constant of proportionality	Ma	የወደረኛነት ያዊት
constant-ration scale	Gg	ቋሚውድር ክርክር
constant of variation	Ma	የልውጠት ያዊት
constantan	Py	ኮንስታንታን
constellation	Gl	ስብስብ ከዋክብት
constellation	Py	ህብረ ከዋክብት
constipation	Zo	ሆድርቀት (ሆድ ድረቀት)
constitutional isomerism	Ch	መሰረታዊ ምስሎች
Constraint	Py	እንቅፋት
constriction	Me	ጥበት
construction joint	Bc	ቁምቀጥል
constructive	Py	ገንቢ
constructive interference	Py	ገንበ ጥልቆሽ
consulting engineer	Bc	አማካ መሃንዲስ
consumer	Bt	ፈጂ
consumer	St	ፈጅ
consumers (in nature)	Gg	ተመጋቢ (በተፈጥሮ)
consumer's expenditure	St	ፈጅ ወጭ
consumer's risk	St	ፈጅ ግልጫ
consumption (food)	Nu	ፍጆታ (የምግብ)
consumptive use	Ag	አፍጃጀ ጥቅም
contact	Gl	ንክክ
contact	Py	ንክኪ
contact herbicide	Ag	የንኪ ፀራረም
contact metamorphism	Gg	ንክኪ ልውጠት
contact metamor phis	Gl	ንክክ ሜታምርፊዝም
contact potential	Py	የንክኪ ክሂሎች
contagious	Me	ተላላፊ
container	Ch	መያዣ
containment	Py	አቅፈት
contaminant	Me	በካይ
contaminate	Me	በከለ
contamination	Gl	ብከላ
content	Ch	ይዘት
continent	Gg	አህጉር
continent	Gl	አህጉር
continental	Gl	አህጉር
continental climate	Gg	አህጉራማ
continental collision	Gl	አህጉራዊ አየር ቅጥ
continental crust	Gl	አህጉራዊ ግጭት
continental drift	Gg	አህጉራዊ ቅርፊት
continental glacier	Gl	አህጉራዊ ሽርተታ
continental plateau	Gg	አህጉራዊ በረዶ ክምችት
continental platform	Gg	አህጉራዊ ገበቶ
continental rise	Gl	አህጉራዊ መድረክ
continental rupture	Gl	አህጉራዊ ከፍታ
continental shelf	Gg	አህጉራዊ ስንጥቅታ
continental shelf	Gl	አህጉራዊ ስጥንጌ
continental shield	Gg	ኢጥልቀ ባህረ-ወለል (አህጉረ ዳርቻ)
continental slope	Gg	አህጉራዊ ጋሻ
continental slope	Gg	አህጉራዊ ቆልቆል
continental slope	Gl	አህጉረ ቆለቆል
contingency	St	ድጋፍ
contingency table	St	ድግፍ ሰንጠረዥ
continued fraction	Ma	ቅጥጥል ክፍልፋይ
continuity (test)	Em	ያለመቋረጥ (ፍተሻ)
continuity	Ma	አያቋርጤነት
continuity	Py	ቅጥለት
continuity correction	St	ትይይዝ እርምት
continuity principle	Py	የቅጥለት መርህ
continuous	Ma	እያቋርጤ
continuous	Py	ቅጥለታዊ
continuous beam	Bc	እግረብዙ ወጋግራ
continuous data	St	ትይይዝ ውህብ
continuous reaction series	Gl	የማያቋርጥ ብልልት
continuous spectrum	Ch	ቅጥልጥል እስፔክትረም
ccontinuous specturm	Py	ቅጥለታዊ እስፔክትረም
continous variable	St	ትይይዝ ተለዋዋጭ
continuous variation	Bt	ቅጥልጥል ምጣኔ
continuous variation	Zo	ቅጥልጥል ምጣቄ
continuum	Py	ቀጣይ
continuum mechanics	Py	ኮንቲነም ሜካኒካ
contour	Ag	አንድርከኔ
contour (line)	Gg	ስምር (ቅጥ)
contour direction	Gg	ስምርቅጥ አቅጣጫ
contour interval	Gg	ስምርቅጥ ፋታ
contour line	Gl	ከፍታ መስመር
contour lines	Bc	ከፍታ መስመሮች
contour ploughing (farming)	Ag	አንድርከኔ እርሻ
contour ploughing	Bt	ከፍታ መስመር እርሻ
contour ploughing	Gg	ስምርቅጥ አተራረስ
contraception	Zo	ክልአተ ወሊድ (ግእዝ)
contraceptive	Zo	ከላኢ ወሊድ
contract	Bc	ኮንትራት (ውል)
contract	Py	መማኮማተር (መኮማተር)
contractile vacuole	Bt	ተኮምታሪ ፈኚት
contraction	Me	መኮማተር (ለጡንቻ)
contraction	Py	ኩምተራ
contractor	Bc	ተቋራጭ
contracture	Me	ኮረመት
contradiction	Ma	ቅራኔ
contradiction used as opposite of tautology)	Ma	ተቃርኖ
contrapositive an implication)	Ma	ዙር ግልብጥ
contrast	Bc	አንፃር
contrast	St	ንፅፅር
contrast; intensity contrast	Bc	ግንን አንፃር
contrast shading	Gg	ንፅፅር ጥለት
contrast; simultaneous  contrast	Bc	ፍጣንፃር (ፍጥ አንፃር)
contrast; temperature contrast	Bc	አይን ማረክ ህብር
control	Ch	ቁራኛ
control chart	St	ቁጥጥር ቻርት
control experiment	Ch	ቁራኛ ሙክረት
control grid	Em	ተቆጣጣሪ ወንፊት
controlled (v)	Py	የተገታ
controlled fission	Py	ግት ብትነት
controlled process	Py	ግት ሂደት
control limit	ST	ቁጥጥር ደንበር
control register	Em	ተቆጣጣሪ መዝገብ
control unit	Em	መቆጣጠሪያ አሃድ
contusion	Me	ሰንበር
conurbation	Gg	ክትመት
conus arteriosus	Zo	ቅንብብ ደም ወሳጅ
convection	Gg	ስግረት
convection	Py	ፍልክልክታ
convection current	Gg	ሰግረት ሞገድ
convection current	Py	ፍልክልክታ ዥረት
convection rain	Gg	ስግረት ዝናብ
convection shower	Gg	ስግረት ካፊያ
convergence	Gg	ግንኝት
convergence	Gl	ግጥጥሞሽ
convergence	Ma	ድርስ
convergent	Ma	ደራሽ
convergent sequence	Ma	ደራሽ ክትትል
convergent series	Ma	ደራሽ ልጥጥቕ
converse (of an implication)	Ma	ዙር
conversion	Py	ልወጣ
conversion process	Py	የልወጣ ሂደት
converter	Py	ለዋጭ
converter reactor	Py	ለዋጭ ገሳቢ
convex	Py	እብጥ
convex lens	Py	እብጥ ምስሮ
convex mirror	Py	እብጥ መስታይት (እብጥ መስተዋት)
convex pologyon	Ma	እብጥ ጎነብዙ
convex region	Ma	እብጥ ክልል
convex set	Ma	እብጥ ስብስብ
convex slope	Gg	ጉብብ ቆለቆል
conveyer	Em	አመላላሽ
convoluted tubule	Zo	ጥመዝማዥ ቱቦ
convolution	Me	ሽብሽብ
convulsant	Me	አንፈርፋሪ
convulsion	Me	እንቅጥቅጥ
cooking	Nu	ማብሰል
cool (to)	Ch	ማብረድ
cool	Py	ማብረድ (ለሙቀት)
coolant	Em	አብራጅ
cooling	Ch	ብረዳ
coordinate (plane)	Gg	ጠለላ ግኝት
coordinate	Py	(ህብረዘንጎ)
coordinate covalent compound	Ch	ግሮሽ ኮቤለንት ውህድ
coordinated	Ch	ግር
coordinate plane	Ma	ውቅር ጠለል
coordinates (geographic)	Gg	መምድረፅፋዊ ግንኝት
coordinates (spherical)	Gg	ክብ ግንኝት
coordinates of a point	Ma	የነጥብ ፈርጆች
coordinates system	Ma	ስርአተ ውቅር
coordinate system	Py	ስርአተህብር ምሽዋ (ስርአተ ህብረ ዘንጎ)
coordinate system	Py	የመስመር ስርአተ ውቅር
coordinate system of a line	Ma	የጠለል ስርአት ውቅር
cooordinate system of a plane	Ma	ግሮሽ ኮቤለንት ውህድ
coordination	Ch	ግሮሽ ውህድ
coordination compound	Ch	ግሮሽ ቁጥር
coordination number	Ch	ግሮሽ ሉል
coordination sphere	Ch	እብረር አትለት
coperecipition	Ch	ኮፖሊመር
copolymerization	Ch	ኮምፖሊመርነት
copper	Ch	መዳብ
copper	Gl	መዳብ
copper	Nu	መዳብ
copper sulphate	Gl	ክብረ-ሰማይ
copra	Gg	ኮኮፍሬ
coprolite	Gl	ቅርስፍግ
copulate	Ag	መስረር
copulation	Me	ሩካቤ
copulation	Zo	ሩካቤ
coquina	Gl	ዛጎል ድንጋይ
coracoid	Me	ምንቃር
coral	Gg	ዛጎል ድንጋይ
coral	Gl	ኮራል
coral polyps	Gg	አረፍ ዛጎል
coral reef	Gg	ዛጎል ድንጋይ
cord	Em	ሲባጎ
cord	Me	እትብት
cordillera	Gg	ሰንሰለቴ ተራራዎች
cordillera	Gl	ኮረርዲሌራ
core	Em	መጠምጠሚያ
core	Gg	ቡጥ
core	Gl	ምድረ እምብርት
core	Py	ቡጥ
coriander	Nu	ድንብላል
coriolis force	Gg	ሽክርክሮሽ ሃይል
coriolis force	Gl	ኮሪዮሊስ ሃይል
coriolis force	Py	የኮሪዮሊስ ሃይል
cork	Bt	ቡሽ
cork	Ch	ቡሽ
cork borer	Ch	ቡሽ መብሻ
cork cambium	Bt	ቡሽ ወለድ
cork ring	Ch	ቡሽ ማቶን
corm	Bt	ተቀበራ ግንድ
corn	Nu	በቆሎ
corn belt	Gg	በቆሎ አገር
cornea	Zo	ብራንፊ (ብርሃን አሳላፊ)
corneal xerosis	Nu	ኮርንያ ድርቀት
corner reflector	Em	ማዕዘን አንፀባራቂ
cornicle	Zo	ቀንዲት
corolla	Bt	መልካበቦች (መልከአበቦች)
corollary	Ma	ውልድ ቲዎረም
corona	Py	ክፈፈ ብርሃን
corona australis	Gg	ደቡብ ዘውድፋና
corona borealis	Gg	ሰሜን ሰውድፋና
coronary artery	Zo	ልብ ደም ወሳጅ
coronary vein	Zo	ልብ ደም መላሽ
coronary vessel	Zo	ልብ ደምቧ (ልብ ደም ቧንቧ)
corpuscle	Py	ቅጥነህዋስ
corpuscle	Zo	አካል
corpuscular	Py	ቅጥነህዋሳዊ
corpuscular radiation	Py	ቅጥነህዋሳዊ ጨረር
corpuscular theory of light	Py	የብርሃን ቅጥነህዋሳዊ ቲዎሪ
corpus iuteum	Zo	ድህረ ጎበራት
corrasion	Gg	ወንዜ (ግምጥ)
corrasion	Gl	ቁም ሽርሽር
correct	Ch	ትክክል
correlation	Gl	ዝምድና
coorelation coefficient	St	ተዛምዶ መለኪያ
correlogram	St	ተዛምዶ ግራም
correspond (int.v)	Py	መዝመድ
correspond (tr.v)	Py	ማዝመድ
correspondence	Ma	ጉድኝት (ጥምረት)
correspondence	Py	ዝምደት
correspondence principle	Py	የዝምደት መርህ
corresponding	Ma	ተጓዳኝ (ተጣማሪ)
corresponding angles	Ma	ተጓዳኝ ዘዌዎች
corresponding sides	Ma	ተጓዳኝ ጎኖች
corrie	Gg	ሳንጫ
corrindale sheep	Gg	ግሽከሱፍ በግ
corrodability	Ch	ተበይነት
corrodable	Ch	ተበይ
corrosion	Ch	ብሎት
corrosion	Gg	ብልልት
corrosion	Gl	ዝገት
corrosive	Ch	በይ
cortex	Bt	ልህፅ
cortex	Zo	ልህፅ
cortisone	Me	ልህፅ ቅመም
corundum	Gl	ኮራንዲም
corymb	Bt	ምጣዶ
cosine series	Ma	ኮሳይን ልጥጥቅ
cosmic	Py	ኮስማዊ
cosmic radiation	Ch	አለማይ ጨረራ
cosmic ray snower	Py	ኮስማዊ የጨረር ክፊት
cosmogeny	Gl	ስነ-ትዕይንት አለም
cosmogony	Py	ቅምረ ኮስሞስ
cosmology	Gl	ስነ-ትዕይንተ አለም
cosmology	Py	ስነ ኮስሞስ
cosmos	Gl	ትዕይንተ-አለም
cosmos	Py	ኮስሞስ
cost function	St	ዋጋ ቅምብር
cost of living index	St	ኑሮ ውድነት አመልካች
cost price	Ma	ፍጆታ ዋጋ
costal	Me	ጎዳናዊ
coterminal angle	Ma	ጭርስ አበር ዘዌዎች
cotter pin	Em	ሰናግ ቅትርት
cotton belt	Gg	ጥጣገር (ጥጥ አገር)
cotton seed	Nu	ጥፍጥሬ (ጥጥፍሬ)
cotton wool	Ch	ባዘቶ
cotledon	Bt	ክክ
couch	Me	መመርመሪያ አልጋ
coulomb	Py	ኩሉምብ
Coulomb's law	Py	የኩሉምብ ህግ
count (to)	Ch	መቁጠር
count down	Py	ቁልጠራ (ቁልቁል ቆጠራ)
countable	Ma	ተዘርዛሪ
countable infinite set	Ma	ተዘርዛሪ እልቆቢስ ስብስብ
counter	Em	ቆጣሪ
counter	Py	ቆጣሪ
counter clockwise	Ma	ኢሰአትዮሽ
counter clockwise	Gg	ኢሰአትያ
counter trades	Gg	ተጋታሪ ምስራቄዎች
countersink	Em	አቻ ቀራጭ
counting	Ch	ቆጠራ
counting (natural) number	Ma	መቁጠሪያ ቁጥር
couple	Em	ጣምሬ
couple	Py	ዘውግ
couple arm	Py	የዘውግ እጀታ
coupler	Py	አቀናጅ
coupling	Em	ማቀናጃ
coupling	Py	ቅንጅት
course	Gg	መጀረቻ (ጅራት መሄጃ)
covlence	Ch	ኮቬለንስ
covalent	Ch	ኮቬለንስ
covalent bond	Ch	ኮቬለንስ-እስስር
covalent compound	Ch	ኮቬለንት-ውህድ
covariance	St	አበር ልይይት
cove	Gg	ቆር
cover	Ch	ሽፋን
cover crop	Ag	አጠናካሪ አዝመራ
cover crop	Bt	ሽፋን ሰብል
cover slip (cover glass) (slide cover)	Bt	ሽርት ክዳን
cover vegetation	Bt	ሽፋን እፀት
covering	Ma	ሽፋን
cow and calf system	Ag	ሰራተ ስጋ ከርቤ
Cowper's gland	Zo	ካውፐር እጢ
crab	Zo	ሰርጣን
cracking	Ch	ሙቀታዊ ሰንጠቃ
crag-and-tail	Gl	ድፍተ ጭሬ
cramps	Zo	ጭብጠት
crane	Em	ማንሻረጃ (ማንሻና ማውረጃ)
cranial cavity	Me	ራስቅል ጎታ
cranial nerves	Me	ራስቅል ነርቭ
cranial nerves	Zo	አንጎል በቀል ነርቮች
cranium	Me	ራስቅል አፅም
cranium	Zo	ራስቅል
crank	Em	መዘወሪያ
crank case	Em	ማቀፎ (የማሽከርከሪያ ቀፎ)
crank pin	Em	መዘወሪያ ቅትርት
crank shaft	Em	መዘወርያ ኩላብ
crater	Gg	ገሞራ ቆሬ
crater lake	Gg	ገሞራ ቆሬ ሃይቅ
crator	Gl	ሰርጉደ መሬት
crawler tractor	Em	ታንክ ትራክተር
cream	Ag	ድልቦተት (ድልብ ወተት)
creationist	Zo	ፍጥረተኛ
creek	Gg	ወንዚት
creep	Em	ፍቅቆሽ
creep	Py	መንቆራሰስ
creeper	Gg	ዘማች (ስለክላኬ) /ለዕፅዋት/
creeping flow	Py	ቀርሰስ ፍሰት
creeping stem	Bt	ዳሂ ግንድ
crenation	Bt	የቅጠል ጥርስ
creole	Gg	ዝርያ
creole negro	Gg	ዝርያ ጥቁር
creole white	Gg	ዝርያ ነጭ
crepitation	Me	ፍጨት
crest	Ag	ኳንክ
crest	Py	ኳንኳ
cretaceous	Gg	ጠመኔ ወቅት
cretinism	Nu	አዕምሮ መቆርቆዝ
crevasse	Gg	በረድ ስንጥቅ
crevasse	Gl	ስንጥቅ በረዶ
crevice	Gl	ስንጥቅታ
critical	Ch	ወሳኝ
critical	Py	ወሳኝ
critical angle	Gl	ወሳኝ ማእዘን (እክል)
critical angle	Py	ወሳኝ ዘዌ
critical damping	Py	ወሳኝ ጭጭታ
criticality	Py	ወሳኝነት
critical point (number)	Ma	ሽርት ዜሮ ነጥብ (ቁጥር)
critical point	St	ወሳኝ ነጥብ
critical pressure	Ch	ወሳኝ ግፊት
critical region	St	ወሳኝ ክልል
critical temperature	Ch	ወሳኝ መጠነሙቀት
crop	Ag	መረቦ
crop	Bt	ሰብል
crop	Zo	ቋተመኖ
cropping	Bt	ሰበላ
crop residue	Bt	ሰብለቀር
crop residues	Ag	ቅራሞክል
crop rotation	AG	ማከር
crop rotation	Bt	ልውውጠ ሰብል
crops	Ag	አዝመሮች
cross bedding	Gl	ሽግር መደብ
cross-belt	Em	ተላላፊ መቀነት
cross breeding	Ag	አደቅሎርባታ (ርባ ደቅሎ)
cross breeding	Gg	ማዳቀል
cross connecting tube	Ch	መስቀለኛ ቱቦ
cross fertilization	Zo	ጣምራዊ ፅንሰት
crossing	Zo	ድቀላ
crossing-over	Zo	ሽግግሮት
cross matching	Me	መስቀለኛ መመሳሰል
cross multiplication	Ma	መስቀልያ ብዜት
cross-pollination	Ag	ሸግግር ጥቀዘር
cross pollination	Bt	ተሻጋሪ ርክበብናኝ
cross product	St	ሽግር ብዜት
cross -section	Em	ምስለ ክፋይ
cross section	Gl	ከፊል ገፅታ
Cross- section	Py	ግጠት
croup	Me	ለቅዳ
crow bar	Em	መፈንቀያ
crowing	Ag	ኩኩሉ ባክ (ኩኩሉ ኩባክ)
crown (of teeth)	Zo	ራስጥርስ
crowns /trees/	Ag	ሙሽራ ተክል
crown wheel	Em	ከኮሮና (ጣሊያንኛ)
crucible	Ch	ከውር
crucible	Em	ጊርጊራ (የዕጣን ማጨሻ ሸክላ) /ኦሮምኛ/
crude birth rate	St	ግርድፍ ልደት ምጣኔ
crude death rate	St	ግርድፍ የሞት ምጣኔ
crude density	Gg	ግርድፍ ዝፈት
crude moment	St	ግርድፍ ምክለት
crude oil	Ch	ድፍድፍ ዘይት
crude oil	Gg	ድፍድፍ ዘይት
crude oil	Gl	ድፍድፍ ነዳጅ
crude rate	St	ግርድፍ ምጣኔ
crumb structure (of soils)	Gg	እንኩርኩር ፈጥር (የአፈር)
cursh (to)	Ch	መገርደፍ
crushed aggregate	Bc	ክክ እግረገት
crust	Gg	ቅራፎ
crust	Gl	የምድር ቅርፊት
crustacean	Gl	ክርስቴሻን
crustaceans	Zo	ሸንጣን አስተኔ
crustalline	Gl	ቅርፊታዊ
crustal plate	Gl	ቅርፊታተ ዝርጌ
crustal root	Gl	ቅርፊተ ስር
crutch	Me	ምርኩል
cryptocrystalline	Gl	ድብቅ ክሪስታል
cryptogam	Bt	ስውር ጾታ እፅ
cryptor chidism	Ag	ነቀስ ኮርማ
crystal	Ch	ቡረሌ
crystal	Gg	ባልጩት
crystal	Gl	ክርስታል
crystal	Me	ማሀው
crystal	Py	ቅዛዛ
crystal form	Gl	ቅርፀ ክርስታል
crystal habit	Gl	የክርስታል ዘይቤ
crystal lattice	Ch	ቡረሌ ድርድሬ
crystalline	Ch	ቡረሌያማ
crystalline complex	Gg	ባልጩትማ ሰብጥርጥር
crystalline highlands	Gg	ባልጩትማ ደጋ
crystalline rock	Gg	ባልጩትማ አለት
crystallinity	Gl	ይዘተ ክርስታል
crystallization	Ch	ቡረላ
crystallization	Gl	ፍጥረተ ክርስታል
crystallize (to)	Ch	ማብራል
crystallography	Gl	ስነ መልክአ ክርስታል
crystallography	Py	ስነ ቅዛዛ
crystal oscilator	Py	ተንዠዋዣዊ ቅዛዛ
crystal structure	Py	የቅዛዛ መዋቅር (ቅዘዛዊ መዋቅር)
C.S.F. (cerebro-spinal fluid)	Me	አንጎል ደንደስ ውሃ
CSM (corn soya milk)	Nu	በቆአተር ወተት (በቆሎ አኩሪ አተር ዱቄት ወተት)
cube	Ma	ኩብ
cube (of a number)	Ma	ሳልስ ርቢ
cube root	Ma	ሳልስ ዘር
cuble	Gl	ኩቢክ
cubic	Py	ኩባዊ
cubic system	Py	ኩባዊ ስርአት
cubing	Ma	ሳልስ ርባታ
cud	Ag	እንጤ
cud	Nu	ተመንዣኪ
cuesta	Gg	ጉቤ
cuesta	Gl	ቆለቆል
cull out	Ag	ማግለል
culm	Ag	ዋሜራ
cultivation	Ag	ኩትኳቶ
cultivator	Ag	መኮትኮቻ
cultural factors	Gg	ባህላዊ ደንቦች
cultural landscape	Gg	ባህላዊ ገፀ ምድር
culture	Ag	ርባተ ዋስያን (ርባት ስያን)
culture	Bt	ካልቸር
culture	Me	ማራቢያ
cummin (black)	Nu	ጥቁር አዝመድ
cumulate	Gl	እሳት ወለድ ንብር
cumulative distribution	St	ክምቹ ስርጭት
cummulative distribution funcation	St	ክምቹ ስርጭት ቅምብር
cumulative frequency	St	ክምቹ ድግግም
cumulonimbus	Gg	ዝናብ ደመና
cumulus	Gg	ቁልል ደመና
cumulus cloud	Gl	ቁልል ደመና
cup anemometer	Gg	ቆቤ ነፋስ ሜትር
cupola furnace	Em	ቱቦ አቶን
